Date,Open,High,Low,Adj Close,Volume,Target,MA5,MA10
2010-08-19,3.708,3.85,3.666,3.758,2895500,1,3.7524,3.7506
2010-08-20,3.73,3.822,3.702,3.82,1480000,1,3.7836,3.7408
2010-08-23,3.818,4.078,3.8,4.026,5440500,0,3.8376000000000006,3.7513999999999994
2010-08-24,3.85,3.942,3.79,3.84,3365500,1,3.8396,3.7548000000000004
2010-08-25,3.832,3.996,3.712,3.98,2516500,0,3.8848,3.7948
2010-08-26,3.978,4.054,3.92,3.95,2169000,0,3.9232,3.8378
2010-08-27,3.95,3.974,3.9,3.94,1898000,1,3.9472,3.8653999999999997
2010-08-30,3.94,4.038,3.922,3.974,3664000,0,3.9368000000000003,3.8872
2010-08-31,3.932,3.958,3.866,3.896,1005500,1,3.9480000000000004,3.8938
2010-09-01,3.924,4.138,3.92,4.09,2474500,1,3.97,3.9274
2010-09-02,4.074,4.248,4.062,4.212,2435500,0,4.0224,3.9728000000000003
2010-09-03,4.174,4.26,4.132,4.21,2173000,0,4.0764,4.0118
2010-09-07,4.122,4.2,4.1,4.108,1217000,1,4.103199999999999,4.02
2010-09-08,4.132,4.19,4.12,4.18,1442000,0,4.159999999999999,4.054
2010-09-09,4.2,4.21,4.138,4.142,1881000,0,4.1704,4.070200000000001
2010-09-10,4.15,4.186,3.952,4.034,1933000,1,4.1348,4.0786
2010-09-13,4.178,4.18,4.1,4.144,1804000,1,4.1216,4.099
2010-09-14,4.108,4.32,4.106,4.224,3273500,1,4.1448,4.124
2010-09-15,4.196,4.4,4.158,4.396,3423000,0,4.188000000000001,4.1739999999999995
2010-09-16,4.43,4.632,4.168,4.188,13422500,0,4.1972000000000005,4.1838
2010-09-17,4.204,4.264,3.96,4.046,5992500,1,4.199599999999999,4.167199999999999
2010-09-20,4.134,4.27,4.032,4.212,4737500,0,4.2132,4.1674
2010-09-21,4.178,4.31,4.134,4.154,3980000,0,4.199199999999999,4.172
2010-09-22,4.174,4.19,3.96,3.974,4814500,0,4.1148,4.151400000000001
2010-09-23,3.978,4.028,3.9,3.912,3340500,1,4.0596000000000005,4.1284
2010-09-24,3.99,4.038,3.93,4.02,2894500,1,4.054399999999999,4.127
2010-09-27,4.08,4.162,4.01,4.106,2093000,1,4.0332,4.1232
2010-09-28,4.208,4.298,4.152,4.28,6072500,1,4.058400000000001,4.1288
2010-09-29,4.238,4.406,4.226,4.396,9846500,0,4.142799999999999,4.1288
2010-09-30,4.4,4.43,4.038,4.082,10979000,1,4.1768,4.1182
2010-10-01,4.138,4.15,4.062,4.12,2988500,1,4.1968,4.1256
2010-10-04,4.086,4.234,4.06,4.198,3218000,1,4.2152,4.1242
2010-10-05,4.23,4.256,4.202,4.224,1660000,0,4.204,4.1312
2010-10-06,4.212,4.252,4.064,4.092,1567000,0,4.1432,4.143
2010-10-07,4.114,4.128,4.068,4.086,705000,0,4.144,4.1604
2010-10-08,4.086,4.158,4.078,4.086,1339000,0,4.1372,4.167
2010-10-11,4.088,4.14,4.014,4.048,856000,0,4.107200000000001,4.1612
2010-10-12,4.04,4.056,4.006,4.048,1220000,1,4.072,4.138
2010-10-13,4.128,4.17,4.072,4.108,1591000,1,4.075200000000001,4.1091999999999995
2010-10-14,4.2,4.206,4.08,4.15,1474000,0,4.087999999999999,4.116
2010-10-15,4.178,4.18,4.05,4.108,1423500,0,4.0924,4.114800000000001
2010-10-18,4.104,4.128,4.044,4.046,814000,0,4.0920000000000005,4.099600000000001
2010-10-19,4.04,4.082,4.0,4.01,1226000,1,4.0844000000000005,4.078200000000001
2010-10-20,4.032,4.138,4.008,4.13,1562500,1,4.0888,4.082
2010-10-21,4.122,4.19,4.09,4.15,2085500,0,4.0888,4.0884
2010-10-22,4.136,4.186,4.11,4.144,805500,1,4.096,4.0942
2010-10-25,4.188,4.196,4.146,4.17,592500,1,4.1208,4.1064
2010-10-26,4.16,4.374,4.102,4.272,3304500,0,4.1732,4.1288
2010-10-27,4.25,4.276,4.13,4.2,1782500,1,4.1872,4.138
2010-10-28,4.278,4.3,4.192,4.238,1121000,1,4.2048000000000005,4.146800000000001
2010-10-29,4.228,4.37,4.21,4.368,1403000,0,4.2496,4.1728000000000005
2010-11-01,4.388,4.55,4.262,4.282,2279000,0,4.272,4.1964
2010-11-02,4.336,4.376,4.21,4.25,1612500,1,4.2676,4.2204
2010-11-03,4.256,4.5,4.232,4.354,1863000,1,4.298399999999999,4.2428
2010-11-04,4.52,5.066,4.43,4.98,9370000,0,4.4468000000000005,4.3258
2010-11-05,4.974,4.994,4.744,4.888,5055000,1,4.550800000000001,4.4002
2010-11-08,4.9,5.0,4.806,4.996,2547500,0,4.693600000000001,4.4828
2010-11-09,5.0,5.138,4.81,4.926,4782000,1,4.8288,4.5482
2010-11-10,4.896,5.994,4.81,5.872,15302500,0,5.1324,4.7154
2010-11-11,5.72,5.82,5.466,5.608,9726500,1,5.258000000000001,4.8524
2010-11-12,5.65,6.1,5.614,5.968,13645500,1,5.474,5.0123999999999995
2010-11-15,6.044,6.588,6.044,6.16,13114500,0,5.7068,5.200200000000001
2010-11-16,6.2,6.28,5.684,5.934,6738000,0,5.9084,5.3686
2010-11-17,6.04,6.15,5.722,5.898,3750000,1,5.9136,5.523000000000001
